Classificador;Amostras;Tempo de Treinamento;Tempo de Testes;Acuracia;F1Score
knn;1000;17,0552;0,0310;0,7758;0,7820
knn;2000;29,8039;0,0859;0,8594;0,8587
knn;3000;38,8738;0,1299;0,8865;0,8857
knn;4000;53,7262;0,1629;0,8903;0,8897
knn;5000;59,8364;0,1979;0,8944;0,8939
knn;6000;71,4895;0,2439;0,9173;0,9169
knn;7000;76,9545;0,2798;0,9251;0,9248
knn;8000;94,1488;0,3678;0,9296;0,9293
knn;9000;95,8523;0,4148;0,9329;0,9326
knn;10000;107,9432;0,5118;0,9351;0,9348
knn;11000;116,3067;0,5207;0,9347;0,9344
knn;12000;146,9863;0,8265;0,9358;0,9355
knn;13000;130,4503;0,6576;0,9360;0,9358
knn;14000;142,6824;0,7316;0,9360;0,9357
knn;15000;142,3570;0,7656;0,9356;0,9353
knn;16000;173,1757;1,1204;0,9373;0,9371
knn;17000;195,9883;1,2223;0,9371;0,9369
knn;18000;194,3837;1,7920;0,9376;0,9373
knn;19000;174,4421;1,3432;0,9385;0,9382
knn;20000;182,7883;1,3632;0,9388;0,9385
naive_bayes;1000;1,3423;0,0070;0,6961;0,6744
naive_bayes;2000;1,2303;0,0080;0,7884;0,7820
naive_bayes;3000;1,2553;0,0100;0,8415;0,8384
naive_bayes;4000;1,2553;0,0120;0,8475;0,8449
naive_bayes;5000;1,2463;0,0140;0,8565;0,8551
naive_bayes;6000;1,2093;0,0160;0,8705;0,8694
naive_bayes;7000;1,2193;0,0180;0,8750;0,8742
naive_bayes;8000;1,2473;0,0260;0,8835;0,8825
naive_bayes;9000;1,2423;0,0240;0,8883;0,8874
naive_bayes;10000;1,2413;0,0350;0,8900;0,8891
naive_bayes;11000;1,2233;0,0370;0,8883;0,8874
naive_bayes;12000;1,2143;0,0400;0,8873;0,8864
naive_bayes;13000;1,2283;0,0440;0,8896;0,8887
naive_bayes;14000;1,2233;0,0450;0,8866;0,8855
naive_bayes;15000;1,2303;0,0540;0,8854;0,8844
naive_bayes;16000;1,2343;0,0540;0,8868;0,8859
naive_bayes;17000;1,2303;0,0650;0,8873;0,8864
naive_bayes;18000;1,2283;0,0590;0,8890;0,8881
naive_bayes;19000;1,2483;0,0660;0,8894;0,8885
naive_bayes;20000;1,2273;0,0660;0,8900;0,8891
lda;1000;0,0480;0,0780;0,7873;0,7873
lda;2000;0,0480;0,0939;0,8734;0,8733
lda;3000;0,0490;0,1169;0,8938;0,8935
lda;4000;0,0520;0,1569;0,8856;0,8854
lda;5000;0,0480;0,1699;0,8905;0,8905
lda;6000;0,0510;0,2029;0,9027;0,9025
